연번,사업장명,주소,위도,경도,데이터기준일자
191,세븐일레븐(희망),"광주광역시 광산구 산정공원로94번길 22, 하남회관 옆(월곡동 495-7)",35.17570135,126.8075776,2024-04-30
192,맨두루 은혜수퍼,광주광역시 광산구 목련로 100(월곡동 316-2),35.17187397,126.8088026,2024-04-30
193,월곡마트,광주광역시 광산구 사암로279번길 17(월곡동 535-1),35.16941048,126.808009,2024-04-30
194,세븐일레븐하남일신점,광주광역시 광산구 산정공원로2번길 3(월곡동 535-6),35.16923854,126.8084903,2024-04-30
195,천원세상,광주광역시 광산구 월곡중앙로25번길 18(월곡동 50-16),35.16868761,126.8099116,2024-04-30
196,에이스놀이터마트,광주광역시 광산구 월곡동 602-7 (월곡중앙로 16) 월곡중앙경로당앞,35.16764104,126.8109988,2024-04-30
197,세븐일레븐월곡중앙점,광주광역시 광산구 월곡로 17(월곡동 552-14),35.1691422,126.8111416,2024-04-30
198,대하마트,"광주광역시 광산구 월곡산정로 91-1, 월곡초4거리(월곡동 612-23)",35.16606254,126.8121908,2024-04-30
199,영앙마트 월곡점,광주광역시 광산구 월곡산정로 91(월곡동 612-15),35.16608134,126.812052,2024-04-30
200,햇살마트(장터DC마트),광주광역시 광산구 월곡산정로 75-1(월곡동 61-13),35.16616797,126.8104372,2024-04-30
201,프랜드24시,"광주광역시 광산구 월곡중앙로 47, 늘찬양교회앞(월곡동 702-2)",35.17048589,126.8109912,2024-04-30
202,생활용품DC마트,"광주광역시 광산구 월곡중앙로47번길 30(월곡동 696-10, 월곡시장주변)",35.17072123,126.809952,2024-04-30
203,늘푸른유통,"광주광역시 광산구 월곡중앙로47번길 30(월곡동 696-10 주변, 생활용품DC마트 옆)",35.17072123,126.809952,2024-04-30
204,한솔종합식품,광주광역시 광산구 월곡중앙로53번길 13(월곡동 697-1),35.17101841,126.8104716,2024-04-30
205,세븐월곡영천점,"광주광역시 광산구 월곡중앙로 53, 한솔종합식품->30m(월곡동 698-2)",35.17100759,126.8110477,2024-04-30
206,명일마트,"광주광역시 광산구 월곡중앙로54번길 20, 세븐24시->80m(월곡동 700-4)",35.17094433,126.8121593,2024-04-30
207,한국마트,광주광역시 광산구 월곡로 54-1(월곡동 584-2),35.16858903,126.8150545,2024-04-30
208,주식회사 에스엠마트 운남점,"광주광역시 광산구 사암로340번안길 12, 주공9단지(월곡우체국 앞)(월곡동 682-1)",35.17605201,126.8105747,2024-04-30
209,CU편의점구보광훼미리,광주광역시 광산구 월곡동 683-1 주공9단지(영천중학교 앞),35.17617058,126.811467,2024-04-30
210,드림마트,광주광역시 광산구 하남동 598 (하남부영3차아파트 정문앞),35.17778988,126.7982163,2024-04-30
211,자연엔,광주광역시 광산구 산정동 (하남2지구도시공사1차 상가 맞은편),35.17060989,126.7947493,2024-04-30
212,파머스마트,광주광역시 광산구 산정동 1016 (하남2지구도시공사1차상가 맞은편),35.17582305,126.7988234,2024-04-30
213,영은상사(SM마트),광주광역시 광산구 손재로110번길 36(산정동),35.17588266,126.7990624,2024-04-30
214,그린마트,광주광역시 광산구 임곡동 488-8,35.21917267,126.7449958,2024-04-30
